Order_ID,Order_Date,Product_Name,Category,Region,Sales_Channel,Units_Sold,Unit_Price,Revenue,Customer_ID
ORD-100000,2024-09-27,Cookware Set,Home & Kitchen,South,Online,1,143.86,143.86,CUST-1087
ORD-100001,2025-01-07,Ergonomic Chair,Home & Kitchen,West,Wholesale,52,155.39,8080.28,CUST-1385
ORD-100002,2024-06-09,Camping Tent,Sports & Outdoors,West,Online,2,161.48,322.96,CUST-1169
ORD-100003,2026-02-21,Fountain Pen,Books & Stationery,West,In-Store,1,37.64,37.64,CUST-1306
ORD-100004,2025-10-08,Sunglasses,Fashion,South,Wholesale,23,66.52,1529.96,CUST-1345
ORD-100005,2025-07-18,Fitness Tracker,Sports & Outdoors,North,Wholesale,49,45.6,2234.4,CUST-1205
ORD-100006,2024-03-21,Camping Tent,Sports & Outdoors,South,In-Store,1,155.5,155.5,CUST-1190
ORD-100007,2024-06-10,Winter Coat,Fashion,East,Affiliate,1,176.32,176.32,CUST-1214
ORD-100008,2024-09-08,Perfume,Beauty & Personal Care,North,In-Store,5,68.13,340.65,CUST-1187
ORD-100009,2025-01-14,Perfume,Beauty & Personal Care,East,Online,1,62.23,62.23,CUST-1135
ORD-100010,2025-04-16,Air Fryer,Home & Kitchen,East,In-Store,1,111.33,111.33,CUST-1230
ORD-100011,2024-07-19,Camping Tent,Sports & Outdoors,East,Online,1,135.71,135.71,CUST-1098
ORD-100012,2025-11-14,Blender,Home & Kitchen,North,Affiliate,3,59.43,178.29,CUST-1004
ORD-100013,2024-08-05,Fountain Pen,Books & Stationery,East,Online,2,40.44,80.88,CUST-1178
ORD-100014,2024-08-28,Water Bottle,Sports & Outdoors,South,Online,2,20.08,40.16,CUST-1142
ORD-100015,2024-06-19,Essential Oil Diffuser,Beauty & Personal Care,West,Affiliate,3,31.94,95.82,CUST-1133
ORD-100016,2025-07-09,Dumbbells,Sports & Outdoors,West,Wholesale,42,48.51,2037.42,CUST-1230
ORD-100017,2024-07-08,Wireless Headphones,Electronics,West,Online,1,138.53,138.53,CUST-1197
ORD-100018,2025-03-31,Sci-Fi Novel,Books & Stationery,South,Online,4,17.14,68.56,CUST-1373
ORD-100019,2025-11-02,Smartphone,Electronics,North,Online,1,736.35,736.35,CUST-1294
ORD-100020,2025-01-20,Skincare Gift Set,Beauty & Personal Care,East,In-Store,2,59.94,119.88,CUST-1053
ORD-100021,2026-05-04,Smart TV,Electronics,South,In-Store,2,611.97,1223.94,CUST-1197
ORD-100022,2025-02-19,Blender,Home & Kitchen,South,Online,2,54.83,109.66,CUST-1197
ORD-100023,2025-05-25,Smart TV,Electronics,South,In-Store,4,616.03,2464.12,CUST-1251
